Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2015,04,20,11:45:13,24.0851,122.453,29,6,"69km SW of Yonakuni, Japan",1429530313
2015,08,13,10:39:53,-37.0152,78.0623,10,6,"102km NNE of Amsterdam Island, France",1439462393
2015,06,04,23:15:43,5.9867,116.5409,10,6,"14km WNW of Ranau, Malaysia",1433459743
2015,06,10,13:52:09,-22.4,-68.4323,124,6,"52km E of Calama, Chile",1433944329
2015,09,18,15:59:42,15.2767,-45.9886,10,6,"Northern Mid-Atlantic Ridge",1442591982
2015,09,22,07:13:00,-31.4441,-71.2653,58,6,"22km NNW of Illapel, Chile",1442905980
2020,11,17,01:44:09,-2.6769,99.3162,10,5.9,"223 km SSW of Padang, Indonesia",1605577449
2020,10,23,01:46:17,-36.3368,-97.1216,10,5.9,"West Chile Rise",1603417577
2020,10,30,08:38:41,10.6444,-43.5468,10,5.9,"northern Mid-Atlantic Ridge",1604047121
2020,09,18,16:28:17,35.0368,25.3034,44,5.9,"12 km SSE of Arkalochóri, Greece",1600446497
2020,10,10,13:14:57,-28.5676,-112.3045,10,5.9,"Easter Island region",1602335697
2020,09,06,00:21:10,1.6684,126.5615,30,5.9,"133 km NW of Ternate, Indonesia",1599351670
2020,08,31,21:18:02,-35.4385,-15.6138,10,5.9,"Tristan da Cunha region",1598908682
2020,07,17,05:40:36,-20.2349,-70.1306,74.2,5.9,"3 km SE of Iquique, Chile",1594964436
2020,04,10,16:44:56,20.4677,122.1097,160,5.9,"14km E of Basco, Philippines",1586537096
2020,04,16,11:45:23,22.8004,94.0292,10,5.9,"38 km ESE of Falam, Myanmar",1587037523
2020,03,28,15:43:17,-1.7144,120.1775,10,5.9,"62km WSW of Kasiguncu, Indonesia",1585410197
2020,05,24,02:52:23,-47.4139,-12.2226,10,5.9,"Southern Mid-Atlantic Ridge",1590288743
2020,06,14,14:24:29,39.4317,40.7076,10,5.9,"14 km E of Yedisu, Turkey",1592144669
2020,01,05,04:40:49,16.4011,-94.489,87,5.9,"4km N of Ixhuatan, Mexico",1578199249
2020,01,11,12:54:45,17.949,-66.8508,5,5.9,"10km SSE of Indios, Puerto Rico",1578747285
2019,12,19,12:35:31,13.7354,-91.2255,21,5.9,"42km SSW of La Gomera, Guatemala",1576758931
2019,06,25,06:01:51,-47.8719,99.4532,10,5.9,"Southeast Indian Ridge",1561442511
2019,01,18,16:40:43,8.4296,-103.2277,10,5.9,"Northern East Pacific Rise",1547829643
2019,01,30,15:31:33,-4.6334,-105.48,10,5.9,"Central East Pacific Rise",1548862293
2019,08,08,11:25:31,37.935,29.7003,11,5.9,"9km ESE of Baklan, Turkey",1565263531
2019,08,14,21:35:18,20.5023,-109.2878,10,5.9,"262km NE of Socorro Island, Mexico",1565818518
2019,09,02,22:45:48,23.7766,-45.2169,10,5.9,"Northern Mid-Atlantic Ridge",1567464348
2019,09,05,15:02:45,43.7183,-127.8191,10,5.9,"284km WNW of Bandon, Oregon",1567695765
2019,09,19,07:32:01,-6.0586,111.8877,617.6,5.9,"74km NNE of Blimbing, Indonesia",1568878321
2019,09,27,15:11:29,-35.9171,-102.7817,10,5.9,"Southeast of Easter Island",1569597089
2019,07,08,18:52:33,0.504,126.3042,28,5.9,"122km WSW of Kota Ternate, Indonesia",1562611953
2019,10,14,22:23:54,-4.482,101.1948,19,5.9,"140km WSW of Bengkulu, Indonesia",1571091834
2019,10,29,02:42:38,6.8659,124.9846,10,5.9,"8km E of Bagontapay, Philippines",1572316958
2019,07,31,05:54:53,13.1476,-89.3951,43,5.9,"38km SSW of La Libertad, El Salvador",1564552493
2019,11,07,22:47:07,37.8026,47.5814,20,5.9,"59km NE of Hashtrud, Iran",1573166827
2019,11,15,01:17:38,1.6158,126.3469,35,5.9,"130km E of Bitung, Indonesia",1573780658
2019,11,16,10:19:13,1.5673,126.3349,24,5.9,"128km E of Bitung, Indonesia",1573899553
2019,11,18,13:22:10,7.6222,124.9103,14.5,5.9,"2km N of Kadingilan, Philippines",1574083330
2019,02,02,10:59:30,-2.8764,100.1326,18,5.9,"164km WSW of Sungaipenuh, Indonesia",1549105170
2019,02,08,11:55:07,9.8456,126.5791,20,5.9,"46km E of General Luna, Philippines",1549626907
2019,05,16,16:22:17,12.6436,-87.8168,72,5.9,"41km WSW of Jiquilillo, Nicaragua",1558023737
2019,05,16,22:52:43,-4.5846,-105.7328,10,5.9,"Central East Pacific Rise",1558047163
2019,04,23,20:15:50,28.4073,94.5605,14,5.9,"33km NW of Along, India",1556050550
2019,03,10,18:04:59,58.3514,-31.9495,10,5.9,"Reykjanes Ridge",1552241099
2019,07,01,16:59:25,9.1702,124.1922,533,5.9,"47km SSE of Lila, Philippines",1562000365
2018,09,03,23:37:17,1.4387,-85.2615,10,5.9,"Off the coast of Ecuador",1536017837
2018,06,12,23:08:28,-2.0196,98.5876,9,5.9,"83km SW of Muara Siberut, Indonesia",1528844908
2018,01,23,06:34:54,-7.0924,105.9632,48.2,5.9,"29km SW of Panyaungan Timur, Indonesia",1516689294
2018,08,09,05:25:32,-8.3065,116.2304,15,5.9,"6km SSW of Lokokrangan, Indonesia",1533792332
2018,10,02,00:16:45,-10.4747,120.1428,26,5.9,"32km SSW of Nggongi Satu, Indonesia",1538439405
2018,10,07,00:11:51,20.0343,-73.0128,24,5.9,"21km WNW of Ti Port-de-Paix, Haiti",1538871111
2018,10,14,12:41:14,-42.2917,88.693,10,5.9,"Southeast Indian Ridge",1539520874
2018,07,21,20:56:19,-48.2253,99.6446,10,5.9,"Southeast Indian Ridge",1532206579
2018,04,02,23:23:17,13.1086,-88.6821,50,5.9,"24km SW of Puerto El Triunfo, El Salvador",1522711397
2018,04,29,22:23:05,-39.2647,46.1195,10,5.9,"Southwest Indian Ridge",1525040585
2018,03,10,21:45:36,-1.4235,-15.2095,10,5.9,"North of Ascension Island",1520718336
2018,02,19,06:56:58,16.2857,-97.7314,22,5.9,"9km E of Santiago Jamiltepec, Mexico",1519023418
2018,05,10,18:02:28,6.8698,123.762,535,5.9,"29km WNW of Gadung, Philippines",1525975348
2018,05,15,15:48:09,-12.7763,45.581,17,5.9,"32km E of Pamandzi, Mayotte",1526399289
2018,06,24,18:43:43,-9.0189,-108.4669,10,5.9,"Central East Pacific Rise",1529865823
2018,06,30,03:56:49,19.0222,-105.119,15,5.9,"49km WSW of San Patricio, Mexico",1530331009
2017,07,04,16:05:58,-35.5047,-73.3356,13,5.9,"86km WSW of Constitucion, Chile",1499184358
2017,07,15,12:12:21,0.4098,121.9844,113,5.9,"42km WSW of Tilamuta, Indonesia",1500120741
2017,09,18,13:46:57,-31.8216,-72.1261,17,5.9,"93km WSW of Illapel, Chile",1505742417
2017,01,02,13:13:48,-4.895,-76.3675,106,5.9,"37km E of Barranca, Peru",1483362828
2017,06,30,01:34:58,33.7413,-38.5445,10,5.9,"Northern Mid-Atlantic Ridge",1498786498
2017,04,08,07:09:23,13.7701,120.9354,14.3,5.9,"1km NNW of Mabini, Philippines",1491635363
2017,04,18,17:49:55,-2.7118,-75.3035,14,5.9,"255km WNW of Iquitos, Peru",1492537795
2017,04,28,15:30:06,-33.219,-71.9694,22,5.9,"37km WSW of Valparaiso, Chile",1493393406
2017,05,02,15:10:22,-11.7119,-13.9378,10,5.9,"Ascension Island region",1493737822
2017,05,06,00:16:09,-60.827,-38.016,12,5.9,"Scotia Sea",1494029769
2017,05,29,14:57:53,-37.3446,-71.6896,81.1,5.9,"60km ENE of Los Angeles, Chile",1496069873
2017,02,24,00:32:17,-8.4404,30.0305,30,5.9,"40km E of Kaputa, Zambia",1487896337
2017,10,28,19:11:02,86.9229,55.2002,10,5.9,"North of Franz Josef Land",1509217862
2016,01,12,09:45:11,-31.3385,58.1916,10,5.9,"Southwest Indian Ridge",1452591911
2016,01,20,17:13:13,37.6709,101.6409,9,5.9,"70km ESE of Hongtu, China",1453309993
2016,06,08,08:31:39,-4.061,-104.5531,10,5.9,"Central East Pacific Rise",1465374699
2016,07,11,02:01:09,0.5874,-79.6358,17,5.9,"33km NNW of Rosa Zarate, Ecuador",1468202469
2016,07,26,05:49:19,-0.2711,-18.6431,10,5.9,"Central Mid-Atlantic Ridge",1469512159
2016,07,27,01:25:12,-44.4113,-79.0594,10,5.9,"Off the coast of Aisen, Chile",1469582712
2016,07,31,11:33:20,-56.2564,-27.5372,99,5.9,"53km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",1469964800
2016,09,10,12:27:33,-1.0355,31.6181,40,5.9,"27km ENE of Nsunga, Tanzania",1473510453
2016,12,06,21:42:20,11.0316,-60.9005,31.8,5.9,"24km SW of Scarborough, Trinidad and Tobago",1481060540
2016,04,05,08:29:20,4.2073,126.6515,35,5.9,"186km SE of Sarangani, Philippines",1459844960
2016,04,22,03:20:13,-0.2814,-80.5039,10.3,5.9,"36km NNW of Bahia de Caraquez, Ecuador",1461295213
2016,10,17,07:14:50,32.8959,94.8768,35,5.9,"134km NE of Dartang, China",1476688490
2015,10,03,06:26:55,-30.301,-71.551,38,5.9,"43km SSW of Coquimbo, Chile",1443853615
2015,10,05,16:33:26,-30.3035,-71.5318,34,5.9,"42km SSW of Coquimbo, Chile",1444062806
2015,10,26,09:09:32,36.459,70.6847,206.9,5.9,"46km SSW of Jarm, Afghanistan",1445850572
2015,05,29,08:40:13,-47.3578,99.9237,10,5.9,"Southeast Indian Ridge",1432888813
2015,03,28,22:28:50,0.4002,121.9895,118,5.9,"42km WSW of Tilamuta, Indonesia",1427581730
2015,03,30,10:34:53,-39.2859,78.0903,10,5.9,"168km SSE of Amsterdam Island, France",1427711693
