Longitude,Latitude,Value
-79.5,83.5,1.9566064926035052e-07
-78.5,83.5,6.236824449950469e-08
-77.5,83.5,1.8436768798897958e-07
-76.5,83.5,6.893937114156423e-07
-75.5,83.5,6.770271821944088e-07
-74.5,83.5,5.985642864920194e-07
-73.5,83.5,3.802271812572777e-07
-72.5,83.5,1.354227554042736e-06
-71.5,83.5,6.141124711632604e-07
-70.5,83.5,1.3598693644606724e-06
-69.5,83.5,8.058042969560903e-07
-68.5,83.5,4.139772777508899e-07
-67.5,83.5,1.7599626661867125e-07
-89.5,82.5,0.0011684332976876
-88.5,82.5,0.0405319003194217
-87.5,82.5,0.0377348042005336
-86.5,82.5,0.0697550304399461
-85.5,82.5,0.0991314865368865
-84.5,82.5,0.1158425377983057
-83.5,82.5,0.063424618417895
-82.5,82.5,0.0830821148634621
-81.5,82.5,0.1163173366697011
-80.5,82.5,0.0947497729152874
-79.5,82.5,0.0882240343230837
-78.5,82.5,0.0713186589265765
-77.5,82.5,0.019302276382954
-76.5,82.5,6.4939082622262775e-06
-75.5,82.5,7.382773482772245e-06
-74.5,82.5,7.686401372032048e-06
-73.5,82.5,7.1220300280515824e-06
-72.5,82.5,7.510945150430447e-06
-71.5,82.5,7.704063947763296e-06
-70.5,82.5,7.685779183483692e-06
-69.5,82.5,7.56419448741368e-06
-68.5,82.5,7.3651474747892594e-06
-67.5,82.5,0.0257865310852993
-66.5,82.5,0.0727966882966574
-65.5,82.5,0.1064053868457614
-64.5,82.5,0.1253511614426885
-63.5,82.5,0.1340438133516336
-62.5,82.5,0.1293625210777473
-61.5,82.5,0.0803431128679813
-95.5,81.5,0.0188365568203749
-94.5,81.5,0.0281687651937069
-93.5,81.5,0.0635262559765809
-92.5,81.5,0.1237560524734701
-91.5,81.5,0.0447656698002962
-90.5,81.5,0.0794492840937794
-89.5,81.5,0.1020217040317831
-88.5,81.5,0.1496602649664044
-87.5,81.5,0.137459259820565
-86.5,81.5,0.1756320233951897
-85.5,81.5,0.1271690963231574
-84.5,81.5,0.1717651058315874
-83.5,81.5,0.1750080336983427
-82.5,81.5,0.1760093121799797
-81.5,81.5,0.1744146270238124
-80.5,81.5,0.1833211336874067
-79.5,81.5,0.214491876571964
-78.5,81.5,0.1320982226731321
-77.5,81.5,0.0543239531555615
-76.5,81.5,0.0501103958116077
-75.5,81.5,0.0410791166555019
-74.5,81.5,0.0401991335771334
-73.5,81.5,0.0480753211819413
-72.5,81.5,0.0443767140255467
-71.5,81.5,0.0419732372904723
-70.5,81.5,0.0289440170060374
-69.5,81.5,0.002764534827224
-68.5,81.5,0.0009580841559612
-67.5,81.5,0.0010018179634766
-66.5,81.5,0.0066353853117292
-65.5,81.5,0.0558841223263004
-64.5,81.5,0.0185372320258116
-63.5,81.5,2.9524297250960337e-07
-99.5,80.5,0.0344353750918087
-98.5,80.5,0.0018411651118328
-96.5,80.5,1.1739882640066311e-08
-95.5,80.5,0.0876297933526471
-94.5,80.5,0.1177598712005786
-93.5,80.5,0.1558196898551166
-92.5,80.5,0.1806983423200404
-91.5,80.5,0.2286884956432941
-90.5,80.5,0.0945961310967363
-89.5,80.5,0.1793652145789769
-88.5,80.5,0.1346028144111551
-87.5,80.5,0.102356224132506
-86.5,80.5,0.0930109405471024
-85.5,80.5,0.0938060094080797
-84.5,80.5,0.1723621419729321
-83.5,80.5,0.1010532910631368
-82.5,80.5,0.0735692003475663
-81.5,80.5,0.0836988441715548
-80.5,80.5,0.1495989090192588
-79.5,80.5,0.1586814123289465
-78.5,80.5,0.1560587502616936
-77.5,80.5,0.1821218641659616
-76.5,80.5,0.1819868027628483
-75.5,80.5,0.1915340921608218
-74.5,80.5,0.200619636019172
-73.5,80.5,0.1915071682471228
-72.5,80.5,0.2233081327530121
-71.5,80.5,0.1838842983476444
-70.5,80.5,0.1783825435397626
-69.5,80.5,0.1575384569027157
-68.5,80.5,0.0320963378368201
-67.5,80.5,1.5665314243121026e-07
-105.5,79.5,0.0271567353164044
-104.5,79.5,0.0455153600510613
-103.5,79.5,0.0455386508505935
-102.5,79.5,0.0123944644340713
-101.5,79.5,0.0130521961046628
-99.5,79.5,0.0110418104522757
-98.5,79.5,0.0071061597932122
-95.5,79.5,0.0030751784905198
-94.5,79.5,0.0488392206296006
-93.5,79.5,0.0939123055684092
-92.5,79.5,0.1103593520400153
-91.5,79.5,0.1295890131093442
-90.5,79.5,0.1432474248330645
-89.5,79.5,0.1426123888109466
-88.5,79.5,0.1220756516614102
-87.5,79.5,0.0939977436100432
-86.5,79.5,0.0728401756668288
-85.5,79.5,0.0695219291965435
-84.5,79.5,0.0729987840549441
-83.5,79.5,0.104522903386055
-82.5,79.5,0.1138270778361833
-81.5,79.5,0.0912673755769256
-80.5,79.5,0.1270101871471521
-79.5,79.5,0.1452462686272776
-78.5,79.5,0.1378705441354953
-77.5,79.5,0.1142749644545814
-76.5,79.5,0.1008377113883271
-75.5,79.5,0.0847643824190378
-74.5,79.5,0.0605387354870751
-73.5,79.5,0.0321137568711668
-72.5,79.5,0.0320047927108464
-71.5,79.5,0.020355306233819
94.5,79.5,0.0493282578897805
95.5,79.5,0.1136867211008106
96.5,79.5,0.1183144589270778
97.5,79.5,0.1212928831161398
98.5,79.5,0.1468704482060063
99.5,79.5,0.1060415079502172
101.5,79.5,0.0310492304788481
102.5,79.5,0.0400874801430968
-114.5,78.5,0.0089077143459021
-113.5,78.5,0.0063045073789963
-112.5,78.5,0.0238068127310107
-111.5,78.5,0.047629958422897
-110.5,78.5,0.0644983853308889
-109.5,78.5,0.0233255633835023
-105.5,78.5,0.0010929049867507
-104.5,78.5,0.0375528040930339
-103.5,78.5,0.0603599782102966
-102.5,78.5,0.0750699214212741
-101.5,78.5,0.082522920516279
-100.5,78.5,0.0987157063757964
-99.5,78.5,0.0393315102052227
-98.5,78.5,0.0173424690953705
-97.5,78.5,0.0776580359181585
-96.5,78.5,0.0790579395925183
-95.5,78.5,0.0545236604312701
-94.5,78.5,0.0005880444854668
-93.5,78.5,0.0227521648706031
-92.5,78.5,0.0524535093652315
-91.5,78.5,0.0973474153426238
-90.5,78.5,0.0874883631081548
-89.5,78.5,0.0755404267789723
-88.5,78.5,0.0539045463618461
-87.5,78.5,0.0425717444099477
-86.5,78.5,0.0673453755099428
-85.5,78.5,0.0858501744388449
-84.5,78.5,0.1009758123908521
-83.5,78.5,0.0957349638828467
-82.5,78.5,0.0874843648509765
-81.5,78.5,0.1359371520717342
-80.5,78.5,0.1796460952092148
-79.5,78.5,0.1699300491634749
-78.5,78.5,0.1512503808304286
-77.5,78.5,0.1638879188239984
-76.5,78.5,0.130946675014604
-75.5,78.5,0.0789473767515242
-74.5,78.5,0.0078376890364227
97.5,78.5,0.0084267458054599
98.5,78.5,0.0242773565561576
99.5,78.5,0.036423368528977
100.5,78.5,0.1468202010316537
101.5,78.5,0.1873194799221392
102.5,78.5,0.1662096948740707
103.5,78.5,0.176017889398671
104.5,78.5,0.083105998184264
105.5,78.5,0.0050239069788072
-120.5,77.5,0.0013069479848388
-119.5,77.5,0.0305675612865775
-118.5,77.5,0.0418844711868417
-117.5,77.5,0.0445912554118736
-116.5,77.5,0.0513285023509771
-115.5,77.5,0.0061002517367571
-114.5,77.5,0.0131753065953168
-113.5,77.5,0.015819233608464
-112.5,77.5,0.0558318651862057
-111.5,77.5,0.0595889752041481
-110.5,77.5,0.0273850724251507
-106.5,77.5,0.0005919100190947
-105.5,77.5,0.0335122393691611
-104.5,77.5,0.0151373362698263
-102.5,77.5,0.0111269584299887
-101.5,77.5,0.0137513800463754
-100.5,77.5,0.0057991285060763
-99.5,77.5,0.0088091711186519
-97.5,77.5,0.0016328014649442
-96.5,77.5,0.0203382090365809
-95.5,77.5,0.0459476664569605
-94.5,77.5,0.0333086876996295
-93.5,77.5,0.0180262687722713
-91.5,77.5,0.0080949220427598
-90.5,77.5,0.0420437926064329
-89.5,77.5,0.0047218085950734
-88.5,77.5,0.0190531288854896
-87.5,77.5,0.0799004914175992
-86.5,77.5,0.1011927735582707
-85.5,77.5,0.0755483608699995
-84.5,77.5,0.0986300205519182
-83.5,77.5,0.1082783823367305
-82.5,77.5,0.1048635135956341
-81.5,77.5,0.0984733336028862
-80.5,77.5,0.140632508214909
-79.5,77.5,0.1293606495610304
-78.5,77.5,0.0850266303794759
-77.5,77.5,0.0042881338822793
101.5,77.5,0.0122163282577069
102.5,77.5,0.0536446652257628
103.5,77.5,0.078413420400773
104.5,77.5,0.0704724134311744
105.5,77.5,0.0152666442136723
-122.5,76.5,0.032198406308449
-121.5,76.5,0.0533171195187594
-120.5,76.5,0.0835068102704019
-119.5,76.5,0.0792847892000901
-118.5,76.5,0.0350716471624315
-117.5,76.5,0.0561413087325207
-116.5,76.5,0.0492984124494085
-115.5,76.5,0.0484211433780826
-114.5,76.5,0.0681991164613059
-113.5,76.5,0.0345900387655526
-112.5,76.5,0.021739854425018
-111.5,76.5,0.0009051859166917
-110.5,76.5,0.0072417838038879
-109.5,76.5,0.0669751065869935
-108.5,76.5,0.0586151333161126
-107.5,76.5,0.0036960103759343
-106.5,76.5,0.0124318316518864
-105.5,76.5,0.0025705959936648
-104.5,76.5,0.0261844358814248
-103.5,76.5,0.0487975320161726
-102.5,76.5,0.0193186073486667
-101.5,76.5,0.0491139163797397
-100.5,76.5,0.0522892088169705
-99.5,76.5,0.0659429795342286
-98.5,76.5,0.0604517022997932
-97.5,76.5,0.0031146549978573
-96.5,76.5,0.0280672181782981
-95.5,76.5,0.062432683566978
-94.5,76.5,0.0710767010093015
-93.5,76.5,0.0460192682345005
-92.5,76.5,0.062158004097994
-91.5,76.5,0.074513591894381
-90.5,76.5,0.0650880599776414
-89.5,76.5,0.0483728053806138
-88.5,76.5,0.0541261505353121
-87.5,76.5,0.0515427122376988
-86.5,76.5,0.0668957977484717
-85.5,76.5,0.0850920610933866
-84.5,76.5,0.0586274927541869
-83.5,76.5,0.0500567031207932
-82.5,76.5,0.0630737256548468
-81.5,76.5,0.051787215094834
-80.5,76.5,0.1048837080943676
-79.5,76.5,0.0998896298120662
-78.5,76.5,0.0545883245279595
-77.5,76.5,0.003360683711954
61.5,76.5,0.0001894349137934
62.5,76.5,8.601347048297119e-05
63.5,76.5,0.0003672821039903
64.5,76.5,0.000501156444922
65.5,76.5,0.0016332282859994
66.5,76.5,0.0044508144226627
67.5,76.5,0.0046834386089791
68.5,76.5,0.0023424797341138
92.5,76.5,6.30668695850508e-05
93.5,76.5,3.595822516492847e-05
94.5,76.5,0.0012572223520896
98.5,76.5,0.0009515089505316
99.5,76.5,0.0019989560407174
100.5,76.5,0.0279675034715169
101.5,76.5,0.1053544277401745
102.5,76.5,0.1234391884692869
103.5,76.5,0.1359798115512426
104.5,76.5,0.1266013667142166
105.5,76.5,0.1408183549514648
106.5,76.5,0.0946419468013656
107.5,76.5,0.0748770233553108
108.5,76.5,0.0949881328994453
109.5,76.5,0.09132857301964
110.5,76.5,0.086092535008402
111.5,76.5,0.0660551977128842
112.5,76.5,0.0178513738798229
113.5,76.5,6.589058712453417e-05
138.5,76.5,0.0046901733542975
140.5,76.5,5.867250707542106e-05
141.5,76.5,0.0026958203645942
152.5,76.5,0.0005720067975902
-121.5,75.5,0.0034215186706007
-120.5,75.5,0.004348731229289
-119.5,75.5,0.0053407147019663
-118.5,75.5,0.0333602394994085
-117.5,75.5,0.0234777991992383
-116.5,75.5,0.0655362308387165
-115.5,75.5,0.0791525622865409
-114.5,75.5,0.0863515998324112
-113.5,75.5,0.0904878501225682
-112.5,75.5,0.0905019292175425
-111.5,75.5,0.0696460734505959
-110.5,75.5,0.0667416000689553
-109.5,75.5,0.0734256242358595
-108.5,75.5,0.0980792021031997
-107.5,75.5,0.097911527159443
-106.5,75.5,0.0925277242620188
-105.5,75.5,0.0238288222098697
-104.5,75.5,0.0307630255346917
-103.5,75.5,0.0131308301667872
-102.5,75.5,0.0261677778939575
-101.5,75.5,0.0308465771138792
-100.5,75.5,0.0504772779314465
-99.5,75.5,0.0971783687263961
-98.5,75.5,0.0966868880638108
-97.5,75.5,0.0219673781377208
-96.5,75.5,0.0325822454666867
-95.5,75.5,0.0663305252055582
-94.5,75.5,0.0806221180930359
-93.5,75.5,0.0204526617669812
-92.5,75.5,0.0308940973958426
-91.5,75.5,0.1006786203305152
-90.5,75.5,0.0989999501095093
-89.5,75.5,0.0851746529876197
-88.5,75.5,0.0651168076820204
-87.5,75.5,0.0626437565366236
-86.5,75.5,0.0525180165698391
-85.5,75.5,0.0831679186507362
-84.5,75.5,0.1096139972065051
-83.5,75.5,0.1392353883443311
-82.5,75.5,0.1550331171947781
-81.5,75.5,0.1469945823882802
-80.5,75.5,0.1062418315694481
-79.5,75.5,0.0261020097105293
56.5,75.5,0.0002867670610266
57.5,75.5,0.0012780504527662
58.5,75.5,0.0022775631632056
59.5,75.5,0.0050236804578765
60.5,75.5,0.0051188361219845
61.5,75.5,0.0038145324528611
62.5,75.5,0.0027453169404319
63.5,75.5,0.0022275598361596
64.5,75.5,0.0012345315976717
65.5,75.5,0.0003979130956477
88.5,75.5,0.012200898563705
89.5,75.5,0.0178608696697971
90.5,75.5,0.0647632803770216
91.5,75.5,0.0800148516577152
92.5,75.5,0.0955114424017382
93.5,75.5,0.1121576604418724
94.5,75.5,0.1350845653038122
95.5,75.5,0.1143541901849259
96.5,75.5,0.063912394893676
97.5,75.5,0.0500203929414518
98.5,75.5,0.0541461521499703
99.5,75.5,0.0725824357873709
100.5,75.5,0.1210097768217238
101.5,75.5,0.1222525450033992
102.5,75.5,0.1249775439291111
103.5,75.5,0.1221950823931722
104.5,75.5,0.1081875314377132
105.5,75.5,0.123260132922569
106.5,75.5,0.1278873887369969
107.5,75.5,0.1370812266390733
108.5,75.5,0.1289063721087259
109.5,75.5,0.1346515914886148
110.5,75.5,0.1460463613175558
111.5,75.5,0.1164283176764643
112.5,75.5,0.0096434666793121
113.5,75.5,0.0024580479576786
135.5,75.5,0.0037970876200868
137.5,75.5,0.0307063381005172
138.5,75.5,0.051108545109406
139.5,75.5,0.0482213270942439
140.5,75.5,0.0652078036909644
141.5,75.5,0.0960534395792242
142.5,75.5,0.0215103781172235
143.5,75.5,0.0357788054050948
144.5,75.5,0.0195197170560462
146.5,75.5,0.0074583579191589
147.5,75.5,0.0138302559884365
148.5,75.5,0.0119119094015568
149.5,75.5,0.0093855406743485
150.5,75.5,0.0044382800694023
-124.5,74.5,0.0250467648303063
-123.5,74.5,0.0550078272831949
-122.5,74.5,0.0606817816401191
